Reference,Country,Country_Code,Hospital_Beds,ICU_Beds,ICU_Per_100_Hospital_Beds
Murthy_2015,Cambodia,KHM,32,8,25
Murthy_2015,Cambodia,KHM,50,4,8
Murthy_2015,Eritrea,ERI,300,9,3
Murthy_2015,Ethiopia,ETH,450,6,1.333333333
Murthy_2015,Kenya,KEN,1800,20,1.111111111
Murthy_2015,Kenya,KEN,140,5,3.571428571
Murthy_2015,Kenya,KEN,750,5,0.666666667
Murthy_2015,Malawi,MWI,600,4,0.666666667
Murthy_2015,Nepal,NPL,340,5,1.470588235
Shrestha_2011,Nepal,NPL,7040,331,4.701704545
Murthy_2015,Zambia,ZMB,1300,5,0.384615385
Adhikari_2010,Colombia,COL,,,3.5
Adhikari_2010,South Africa (Public),ZAF,,,1.7
Adhikari_2010,South Africa (Private),ZAF,,,8.9
Adhikari_2010,Zambia,ZMB,,,0.2
Adhikari_2010,China,CHN,,,1.8
Atumanya_2020,Uganda,UGA,3633,55,1.513900358
Losonczy_2019,Haiti,HTI,4300,124,2.88372093
Sultan_2018,Ethiopia,ETH,1400,30,2.142857143
Lalani_2018,Kenya,KEN,838,6,0.715990453
Touray_2018,Gambia,GMB,3236.363636,8,0.247191011
Zha_2018,Nigeria,NGA,500,5.5,1.1
Dat_2017,Vietnam,VNM,162,13,8.024691358
Brouillete_2017,Ghana,GHA,1200,6,0.5
Mendsaikhan_2016,Mongolia,MNG,20529.41176,349,1.7
Henry_2015,Malawi,MWI,5753,0,0
Louriz_2012,Morocco,MAR,1028,12,1.167315175
Lin_2011,Afghanistan,AFG,400,10,2.5
Celis_2002,Colombia,COL,12987,460,3.542003542
Haniffa_2014,Sri Lanka,LKA,,99,1.3
Kwizera_2012,Uganda,UGA,1500,12,0.8
Muhanuzi,Tanzania,TZA,1500,13,0.866666667
Abdissa_2018,Ethiopia,ETH,364,6,1.648351648
Duarte_2017,Brazil,BRA,190,14,7.368421053
Ttendo_2016,Uganda,UGA,300,2,0.666666667
Khan_2016,Pakistan,PAK,570,14,2.456140351
Phua_2020,Bangladesh,BGD,,878,2.692333901
Phua_2020,India ,IND,,29997,3.7
Phua_2020,Indonesia,IDN,,7094,2.3
Phua_2020,Mongolia,MNG,,271,2.5
Phua_2020,Myanmar,MMR,,331,0.564846416
Phua_2020,Pakistan,PAK,,3142,2.5
Phua_2020,Phillipines,PHL,,2315,3.668308351
Phua_2020,Sri Lanka,LKA,,519,0.6
Phua_2020,China,CHN,,49453,0.9
Phua_2020,Iran,IRN,,3769,2.883931398
Phua_2020,Kazakhstan,KAZ,,3948,3.9
Phua_2020,Malaysia,MYS,,1060,1.7
Phua_2020,Thailand,THA,,7100,5.1
Phua_2020,Brunei,BRN,,58,4.7
Phua_2020,Hong Kong,HKG,,287,1.516438356
Phua_2020,Japan,JPN,,5973,0.840266205
Phua_2020,Oman ,OMN,,196,3.417234469
Phua_2020,Saudi Arabia,SAU,,6515,9.2
Phua_2020,Singapore,SGP,,335,3.295081967
Phua_2020,South Korea,KOR,,5402,2
Phua_2020,Taiwan,TWN,,5758,7.81940009
